"state","voted","calculated_age","Voters_Gender","Parties_Description","EthnicGroups_EthnicGroup1Desc","Ethnic_Description","Residence_HHParties_Description","CommercialData_EstimatedIncomeAmount","CommercialData_PropertyType","CommercialData_EstHomeValue","nonpartisan_donation","row_index"
"id",1,31,0,"Non-Partisan","European","German","Independent",155000,"Residential",259467,0,89382
"or",1,58,0,"Democratic","European","English/Welsh","Democratic",NA,"Unknown",NA,0,107169
"ca",0,76,1,"Republican","Other","Filipino","Democratic & Republican",87499,"Unknown",432737,0,96522
"il",1,43,0,"Democratic","European","English/Welsh","Democratic",89000,"Residential",151747,0,67486
"ak",1,58,0,"Republican","European","English/Welsh","Republican",239000,"Residential",NA,0,111025
"md",1,46,1,"Non-Partisan","East and South Asian","Korean","Independent",250000,"Residential",1117565,0,258952
"nc",0,59,0,"Non-Partisan","Hispanic and Portuguese","Hispanic","Democratic & Republican & Independent",47000,"Residential",243994,0,271135
"ny",1,57,0,"Republican","Hispanic and Portuguese","Hispanic","Republican",60000,"Apartment",290999,0,124697
"mi",1,18,1,"Democratic","European","Dutch (Netherlands)","Democratic & Republican",250000,"Residential",377587,0,57708
"nj",0,25,1,"Socialist","European","Norwegian","Independent",250000,"Residential",670530,0,5549
"ny",0,44,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic & Independent",37499,"Apartment",407142,0,125233
"fl",1,59,1,"Democratic","European","English/Welsh","Democratic",250000,"Residential",1226521,1,295037
"nv",0,22,0,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",45000,"Residential",279200,0,386708
"nm",1,61,1,"Non-Partisan","European","Irish","Independent",250000,"Residential",413909,1,385621
"ca",1,80,0,"Democratic","European","Norwegian","Democratic & Republican & Independent",33000,"Residential",441072,1,403765
"sc",1,71,1,"Non-Partisan","European","Irish","Independent",249000,"Residential",841677,0,278174
"tx",1,52,0,"Democratic","European","English/Welsh","Democratic",229000,"Residential",411169,0,362777
"ga",1,74,1,"Republican","European","English/Welsh","Republican",186412,"Unknown",472399,1,29879
"ia",1,57,0,"Non-Partisan","European","Lithuanian","Independent",42343,"Apartment",86175,0,172888
"nh",0,98,1,"Democratic","Other","Russian (omitting former Soviet States)","Democratic",92187,"Apartment",299397,0,114737
"va",1,50,0,"Republican","European","German","Democratic & Republican",250000,"Residential",425283,0,264542
"ca",0,38,1,"Green","European","German","Independent",98749,"Unknown",554103,0,97954
"tn",1,57,0,"Republican","European","Scots","Republican",249000,"Apartment",448067,0,161151
"wv",1,58,1,"Democratic","European","English/Welsh","Democratic",44078,"Apartment",126666,0,142563
"nc",1,20,1,"Non-Partisan","Likely African-American","African or Af-Am Self Reported","Independent",43310,"Apartment",114582,0,143829
"nc",1,65,0,"Non-Partisan","European","Irish","Republican & Independent",68000,"Residential",104690,1,274575
"pa",0,37,0,"Republican","European","Slovakian","Republican",43000,"Residential",121752,1,252672
"tx",0,39,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",91000,"Residential",289285,0,78395
"nc",1,58,1,"Non-Partisan","East and South Asian","Indian/Hindu","Independent",128000,"Residential",173328,0,271822
"nc",0,19,1,"Non-Partisan","European","Polish","Republican & Independent",47749,"Residential",104215,0,23248
"fl",1,67,1,"Republican","European","English/Welsh","Republican",40914,"Residential",112500,0,294098
"ny",0,77,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",NA,"Apartment",NA,0,132944
"ca",1,32,1,"Democratic","European","Czech","Democratic & Independent",250000,"Residential",3590461,0,388216
"ca",1,45,1,"Republican","European","English/Welsh","Republican",174000,"Residential",1015580,0,391434
"mo",1,57,0,"Republican","European","Scots","Democratic & Republican",200000,"Residential",332291,1,349697
"nj",1,68,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",92000,"Residential",276462,0,238911
"ca",0,54,1,"Democratic","European","English/Welsh","Democratic",46886,"Unknown",140624,0,99760
"il",1,72,0,"Republican","European","English/Welsh","Republican",52000,"Residential",216128,1,347144
"sc",1,34,0,"Non-Partisan","European","English/Welsh","Independent",50097,"Unknown",84999,0,25919
"ak",1,23,0,"Republican","Other","Russian (omitting former Soviet States)","Republican",68892,"Apartment",139129,0,222735
"oh",1,51,0,"Republican","European","English/Welsh","Republican & Independent",64000,"Residential",215132,1,316200
"nc",0,41,0,"Non-Partisan","Other","Western Samoa","Independent",62846,"Apartment",150853,0,144821
"la",1,35,1,"Republican","European","English/Welsh","Republican",155000,"Residential",214854,0,356217
"ga",1,46,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",48000,"Apartment",170373,0,147850
"va",1,19,1,"Democratic","European","English/Welsh","Democratic & Republican & Independent",98314,"Residential",248809,0,20000
"az",0,47,1,"Non-Partisan","Other","Russian (omitting former Soviet States)","Independent",130636,"Apartment",412820,0,199544
"pa",1,58,1,"Republican","European","English/Welsh","Republican",47000,"Residential",287707,1,253927
"ma",0,30,0,"Democratic","European","English/Welsh","Democratic & Independent",72000,"Residential",219593,0,319
"mi",1,39,0,"Non-Partisan","European","Italian","Independent",109000,"Residential",229547,0,325474
"ga",0,90,0,"Democratic","European","English/Welsh","Democratic",NA,"Residential",62500,0,282762
"tx",1,56,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",68000,"Residential",164107,0,371644
"ct",1,44,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic & Republican & Independent",118000,"Residential",332582,0,232536
"me",1,44,0,"Non-Partisan","European","French","Independent",94337,"Unknown",297499,0,2648
"or",1,43,1,"Republican","European","Irish","Republican & Independent",97000,"Residential",347883,0,407578
"in",1,29,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",95000,"Residential",313705,0,319568
"ia",1,34,0,"Democratic","European","English/Welsh","Democratic",21000,"Residential",139285,0,330278
"ga",0,61,0,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",62000,"Apartment",146503,0,148030
"id",1,66,1,"Republican","European","English/Welsh","Republican",106000,"Residential",137500,1,379384
"ma",1,18,0,"Republican","European","English/Welsh","Republican & Independent",250000,"Residential",1115237,0,225898
"az",1,64,1,"Republican","","","Republican & Independent",73000,"Residential",379710,0,383316
"wi",1,64,0,"Republican","European","English/Welsh","Republican",58000,"Residential",330392,0,332602
"fl",1,65,0,"Democratic","European","Italian","Democratic",77529,"Apartment",233196,0,152987
"ca",1,66,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",104572,"Apartment",137500,1,203730
"ny",1,55,0,"Non-Partisan","European","Polish","Independent",137499,"Residential",625000,0,241891
"nh",1,34,0,"Democratic","","","Democratic & Republican",115043,"Residential",319919,0,228553
"va",1,81,1,"Democratic","European","English/Welsh","Democratic",71025,"Condominium",137500,1,257548
"in",1,58,1,"Democratic","European","Scots","Democratic",32000,"Residential",215213,0,321621
"fl",1,34,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic & Republican",99000,"Residential",318923,0,289778
"ca",1,28,0,"Democratic","European","English/Welsh","Democratic",133776,"Apartment",794443,0,204910
"ca",1,50,0,"Republican","European","English/Welsh","Republican & Independent",74000,"Residential",270507,0,397414
"ca",1,53,1,"Non-Partisan","East and South Asian","Korean","Independent",113724,"Apartment",655434,0,209332
"hi",0,NA,0,"Democratic","European","English/Welsh","Democratic",41000,"Duplex",644840,0,217642
"va",1,77,1,"Republican","European","Scots","Republican",71000,"Residential",112500,1,265474
"ks",1,73,1,"Republican","European","English/Welsh","Republican",36000,"Residential",12500,0,353829
"tx",1,78,1,"Republican","European","Hungarian","Republican",85000,"Residential",504568,1,369672
"mi",1,32,1,"Republican","European","Norwegian","Democratic & Republican",49000,"Apartment",340195,1,170255
"ca",1,59,0,"Democratic","European","French","Democratic & Independent",71000,"Residential",441865,1,105789
"mi",0,76,1,"Democratic","European","Irish","Democratic",39000,"Residential",87500,1,326391
"mo",1,63,1,"Republican","European","English/Welsh","Republican",197000,"Residential",494742,0,351025
"nc",1,29,1,"Democratic","European","Irish","Democratic",109000,"Residential",338182,0,24128
"fl",0,18,0,"Non-Partisan","","","Independent",108832,"Apartment",358429,0,153839
"nj",1,20,0,"Republican","","","Republican",250000,"Residential",811197,0,235245
"oh",0,64,0,"Non-Partisan","European","English/Welsh","Independent",26000,"Residential",83021,0,49751
"mo",0,22,1,"Democratic","","","Democratic",74582,"Apartment",244117,0,184039
"va",1,58,0,"Non-Partisan","European","German","Independent",56000,"Residential",198905,0,263788
"tx",1,60,1,"Republican","Other","Hawaiian","Republican",69526,"Residential",134486,0,189870
"ny",0,37,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",79619,"Apartment",473809,0,129815
"mn",1,29,1,"Democratic","Other","Russian (omitting former Soviet States)","Democratic",71000,"Residential",418257,0,337041
"tx",1,61,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",68999,"Residential",95356,0,84628
"sc",1,43,0,"Republican","European","English/Welsh","Republican",209000,"Residential",346135,0,277496
"ca",1,90,1,"Democratic","European","English/Welsh","Democratic",167000,"Residential",521787,0,405008
"ny",1,64,0,"Democratic","European","Irish","Democratic",72000,"Residential",193076,0,244203
"nc",1,51,1,"Democratic","European","English/Welsh","Democratic",80624,"Apartment",276428,0,145166
"fl",1,63,0,"Democratic","","","Democratic",63449,"Apartment",170121,0,156657
"pa",0,20,1,"Democratic","European","French","Democratic",78000,"Apartment",98649,0,134711
"or",0,63,1,"Democratic","","","Democratic",73392,"Unknown",342656,0,108145
"ga",1,45,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",98925,"Unknown",218477,0,30706
"tx",1,41,0,"Republican","European","Hungarian","Republican",172000,"Residential",342824,0,370038
"tx",0,26,0,"Republican","","","Republican",128274,"Residential",248143,0,82748
"ny",1,49,1,"Democratic","European","English/Welsh","Democratic",72000,"Residential",194081,1,245965
"tx",1,39,1,"Democratic","East and South Asian","Indian/Hindu","Democratic",234499,"Residential",1139097,0,80926
"az",1,25,0,"Republican","European","Italian","Republican",10000,"Apartment",249598,0,200775
"il",1,63,1,"Republican","European","English/Welsh","Republican & Independent",26000,"Residential",65951,0,68538
"mo",1,69,0,"Republican","European","Irish","Republican",99000,"Residential",178324,1,352615
"md",1,NA,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",117904,"Unknown",365454,0,16368
"mi",1,80,1,"Republican","European","German","Republican",31000,"Residential",266391,1,328478
"id",1,20,1,"Non-Partisan","European","English/Welsh","Independent",78796,"Apartment",353113,0,197923
"ny",1,44,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",84999,"Apartment",359999,0,128489
"sc",0,56,1,"Non-Partisan","European","English/Welsh","Independent",66175,"Residential",162500,1,26762
"mn",1,26,0,"Non-Partisan","European","French","Independent",110042,"Unknown",297036,0,62372
"ga",1,54,0,"Republican","European","Irish","Republican",61000,"Residential",247005,1,278539
"pa",1,39,0,"Democratic","European","Italian","Democratic",123392,"Unknown",336110,0,136778
"pa",1,69,1,"Democratic","European","English/Welsh","Democratic",33000,"Residential",136497,1,248321
"ca",1,18,1,"Republican","European","Scots","Republican",250000,"Residential",1255117,0,390677
"oh",0,42,1,"Non-Partisan","European","English/Welsh","Independent",51000,"Apartment",75973,0,167058
"in",0,63,0,"Non-Partisan","European","Irish","Republican & Independent",70666,"Unknown",119096,0,51657
"co",1,69,0,"Republican","","","Republican",99602,"Unknown",325000,1,376057
"oh",1,73,1,"Republican","European","English/Welsh","Republican",70540,"Residential",112500,0,315335
"mi",1,39,1,"Democratic","European","Irish","Democratic",40624,"Residential",87500,0,327200
"oh",0,33,1,"Non-Partisan","European","Polish","Republican & Independent",78876,"Residential",194117,0,50122
"tn",1,70,0,"Non-Partisan","Likely African-American","African or Af-Am Self Reported","Democratic & Independent",41199,"Apartment",119484,0,160458
"fl",1,53,1,"Republican","European","German","Republican",84000,"Residential",163735,1,158597
"pa",1,62,0,"Republican","European","English/Welsh","Republican",77000,"Residential",262500,1,248928
"al",1,26,0,"Non-Partisan","European","English/Welsh","Independent",70594,"Unknown",201612,0,40046
"tx",1,24,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic & Republican & Independent",88441,"Unknown",178102,0,81695
"de",0,57,0,"Republican","","","Republican",11000,"Residential",257781,0,257099
"sd",1,36,1,"Republican","","","Republican & Independent",107000,"Residential",289335,0,340053
"ny",1,63,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic & Independent",188000,"Duplex",661640,1,128364
"ia",1,37,0,"Non-Partisan","European","Scots","Democratic & Independent",162000,"Residential",312859,1,329926
"ks",1,51,0,"Republican","European","Italian","Democratic & Republican & Independent",136000,"Residential",325000,0,352777
"mi",1,63,1,"Democratic","European","Irish","Democratic",44000,"Residential",148537,0,328251
"hi",1,59,0,"Non-Partisan","European","German","Independent",82000,"Residential",628825,1,405662
"pa",1,54,1,"Republican","European","Dutch (Netherlands)","Democratic & Republican",81000,"Residential",180801,1,252964
"pa",0,22,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",55908,"Apartment",79499,0,136837
"il",0,47,0,"Republican","Likely African-American","Likely Af-Am (Modeled)","Republican & Independent",44117,"Apartment",176470,0,180962
"va",1,69,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",28928,"Unknown",122655,0,19669
"la",1,61,0,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",47000,"Residential",65615,0,356196
"tx",1,62,1,"Democratic","European","English/Welsh","Democratic",51000,"Residential",269649,1,365677
"fl",1,66,0,"Republican","European","English/Welsh","Republican & Independent",43749,"Residential",86572,0,38487
"wa",1,56,0,"Democratic","","","Democratic",122000,"Residential",477334,0,412066
"ok",1,65,0,"Democratic","European","Irish","Democratic & Republican",72499,"Residential",425000,0,360015
"ca",1,33,1,"Republican","European","German","Republican",124000,"Residential",630836,0,395008
"oh",1,38,0,"Republican","European","English/Welsh","Republican & Independent",47000,"Residential",167695,0,49515
"ca",1,29,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",47360,"Apartment",449999,0,203683
"ca",0,17,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",69000,"Residential",469463,0,394695
"nj",0,21,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",NA,"Apartment",NA,0,118873
"nc",1,65,0,"Non-Partisan","European","English/Welsh","Independent",10000,"Residential",239847,1,22096
"co",1,34,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Republican & Independent",143000,"Residential",405799,0,378959
"va",1,20,1,"Non-Partisan","European","Norwegian","Independent",51562,"Apartment",122916,0,142327
"ga",0,22,0,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",36041,"Condominium",113280,0,29638
"al",1,50,0,"Republican","European","Scots","Republican",144000,"Residential",295178,1,298933
"mi",1,31,1,"Democratic","","","Democratic",33000,"Residential",223068,1,328607
"il",1,34,1,"Democratic","East and South Asian","Chinese","Democratic & Republican & Independent",140000,"Residential",423227,0,343236
"ca",0,31,0,"Non-Partisan","Hispanic and Portuguese","Hispanic","Democratic & Independent",118504,"Apartment",362564,0,212880
"wv",1,61,0,"Republican","European","English/Welsh","Democratic & Republican",97000,"Apartment",108978,1,142588
"az",1,49,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",56587,"Unknown",192544,0,92781
"hi",0,NA,1,"Democratic","","","Democratic",108552,"Apartment",819852,0,217474
"ct",1,31,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",90000,"Residential",274739,1,232116
"tx",1,33,1,"Democratic","European","English/Welsh","Democratic",197000,"Apartment",574104,0,194447
"md",1,67,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",204777,"Residential",625000,0,259585
"md",1,40,1,"Democratic","East and South Asian","Chinese","Democratic",148000,"Residential",585586,0,16669
"ca",1,18,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",92401,"Apartment",560605,0,211012
"mn",0,69,1,"Democratic","East and South Asian","Vietnamese","Democratic",31249,"Apartment",198749,0,177246
"ca",1,56,0,"Republican","","","Republican & Independent",212000,"Residential",1019711,0,395518
"sc",0,20,0,"Non-Partisan","European","English/Welsh","Independent",41715,"Unknown",67570,0,27233
"ca",1,60,0,"Republican","European","Italian","Republican",89000,"Residential",1056618,0,401817
"ga",0,32,1,"Non-Partisan","European","Scots","Independent",87574,"Unknown",223957,0,28194
"tn",1,81,0,"Democratic","European","Irish","Democratic",25000,"Duplex",288377,0,304604
"ga",1,64,1,"Democratic","European","English/Welsh","Democratic",93000,"Residential",242919,1,279850
"ca",1,36,0,"Non-Partisan","","","Democratic & Independent",148933,"Apartment",797972,0,209093
"ca",1,49,1,"Democratic","Other","Pakistani","Democratic & Independent",199000,"Residential",1194717,0,100494
"tn",0,66,0,"Democratic","European","English/Welsh","Democratic",45624,"Residential",87500,1,302816
"va",1,23,1,"Democratic","European","Dutch (Netherlands)","Democratic",198000,"Residential",799396,0,16094
"va",1,62,1,"Republican","Hispanic and Portuguese","Hispanic","Democratic & Republican",225000,"Residential",534778,1,263370
"il",1,51,1,"Democratic","European","Scots","Democratic & Republican",250000,"Residential",327926,0,344316
"wi",1,NA,0,"Non-Partisan","","","Independent",62743,"Residential",171969,0,60222
"fl",1,20,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",51666,"Apartment",151457,0,152128
"ny",1,32,1,"Democratic","","","Democratic",110000,"Apartment",544999,1,122001
"nj",1,40,1,"Democratic","","","Democratic",185447,"Unknown",727443,0,5024
"pa",1,56,1,"Republican","European","German","Republican",73000,"Residential",142208,1,249152
"ky",1,47,1,"Democratic","European","English/Welsh","Democratic",24000,"Residential",216429,0,308582
"ga",1,38,1,"Republican","European","Irish","Republican",188000,"Residential",516304,0,278816
"wa",1,61,0,"Democratic","European","German","Democratic",120000,"Residential",478855,0,411518
"sd",0,58,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",NA,"Apartment",112500,1,177639
"ms",1,NA,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",40000,"Apartment",NA,0,161947
"mo",1,74,1,"Non-Partisan","European","Scots","Independent",47999,"Apartment",78234,0,183762
"de",1,35,0,"Republican","European","Scots","Republican & Independent",176000,"Residential",214655,1,257277
"al",1,18,0,"Republican","European","English/Welsh","Republican",74000,"Residential",198823,0,40224
"tx",1,65,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",71000,"Residential",223729,0,83709
"ca",0,40,0,"Republican","European","Irish","Republican & Independent",NA,"Apartment",NA,0,204960
"id",0,84,1,"Republican","","","Republican",18000,"Residential",370458,1,379495
"va",1,26,0,"Democratic","European","Scots","Democratic",53157,"Apartment",193749,0,141485
"pa",0,59,0,"Democratic","European","English/Welsh","Democratic",NA,"Apartment",NA,0,135202
"wa",1,68,1,"Non-Partisan","European","English/Welsh","Independent",100274,"Apartment",350253,0,221359
"tn",1,39,1,"Non-Partisan","","","Independent",37000,"Residential",128547,0,303407
"fl",1,27,1,"Democratic","","","Democratic",45332,"Apartment",129687,0,151231
"me",0,78,1,"Green","European","English/Welsh","Independent",27000,"Residential",139112,0,3078
"va",1,43,0,"Republican","European","Irish","Republican",204000,"Residential",789546,0,257587
"va",0,61,0,"Non-Partisan","Hispanic and Portuguese","Hispanic","Democratic & Independent",74000,"Residential",242626,0,19139
"tn",1,81,0,"Republican","European","Irish","Republican & Independent",9000,"Apartment",12500,0,161454
"md",1,40,0,"Democratic","European","Italian","Democratic",99000,"Residential",560047,0,259651
"ga",0,54,1,"Non-Partisan","European","German","Independent",193000,"Residential",547574,0,28497
"pa",1,56,1,"Republican","European","Scots","Republican & Independent",80000,"Residential",291981,0,254404
"nc",1,46,1,"Republican","European","Irish","Republican",68000,"Residential",178487,0,272025
"or",1,36,1,"Non-Partisan","European","English/Welsh","Independent",95000,"Residential",379060,0,406301
"nj",1,42,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",123000,"Residential",521356,0,234637
"ri",1,60,0,"Non-Partisan","European","German","Democratic & Independent",111130,"Residential",212500,0,228368
"nv",1,42,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",91000,"Residential",377230,1,387044
"ks",1,56,0,"Republican","European","Polish","Republican & Independent",139000,"Residential",685048,0,353037
"tn",1,25,0,"Republican","European","French","Republican",80122,"Residential",262500,0,42215
"va",1,66,0,"Democratic","European","English/Welsh","Democratic",90000,"Residential",596792,1,265363
"ny",1,29,1,"Non-Partisan","European","German","Republican & Independent",136000,"Residential",320497,0,10361
"tx",0,26,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",71028,"Unknown",78332,0,80034
"az",1,29,1,"Non-Partisan","European","English/Welsh","Independent",50576,"Unknown",113392,0,91863
"va",1,31,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",79000,"Residential",195867,1,265029
"nm",1,61,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic & Independent",51000,"Apartment",157499,0,201303
"ar",1,34,1,"Democratic","European","German","Democratic",138000,"Residential",202391,0,75844
"tx",0,23,1,"Democratic","European","Irish","Democratic",26070,"Residential",144731,0,85823
"md",0,41,0,"Non-Partisan","European","Irish","Independent",127411,"Apartment",237500,0,139266
"fl",1,41,0,"Non-Partisan","European","Polish","Independent",174000,"Residential",694265,0,290441
"wa",1,73,0,"Republican","European","Irish","Republican",91386,"Apartment",337593,0,221682
"ca",1,61,0,"Republican","European","Swedish","Republican",61000,"Apartment",226772,1,212461
"sc",1,67,1,"Democratic","European","English/Welsh","Democratic",131249,"Unknown",356512,0,26262
"ky",1,59,1,"Republican","European","English/Welsh","Democratic & Republican",55253,"Unknown",163801,0,163054
"oh",1,38,1,"Democratic","European","Italian","Democratic",73000,"Residential",221335,0,311970
"fl",0,26,1,"Republican","European","English/Welsh","Republican",NA,"Apartment",NA,0,153652
"ny",1,77,0,"Conservative","European","Polish","Independent",153000,"Residential",211525,0,246204
"il",1,74,1,"Republican","European","Lithuanian","Republican",44000,"Residential",169821,0,65854
"tx",1,22,0,"Non-Partisan","Other","Persian","Independent",244000,"Residential",485656,0,368594
"oh",1,79,1,"Democratic","European","Italian","Democratic",107000,"Residential",161823,1,314435
"fl",1,73,1,"Republican","European","Irish","Democratic & Republican",99000,"Residential",251397,1,287779
"ny",1,41,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",109000,"Apartment",187500,0,123861
"nj",0,67,1,"Democratic","European","English/Welsh","Democratic",98213,"Apartment",475000,0,119348
"tx",0,72,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",54000,"Residential",363425,1,374954
"ca",1,31,0,"Unknown","","","Independent",97000,"Residential",761110,0,95721
"pa",1,34,1,"Democratic","","","Democratic",100090,"Residential",212500,0,11208
"az",1,19,0,"Republican","European","English/Welsh","Democratic & Republican & Independent",150605,"Apartment",581421,0,199603
"nc",1,50,0,"Non-Partisan","Hispanic and Portuguese","Hispanic","Democratic & Independent",71549,"Residential",179653,0,271788
"nc",1,48,0,"Non-Partisan","European","English/Welsh","Independent",250000,"Residential",1174910,0,25775
"pa",1,47,1,"Democratic","European","Czech","Democratic",52000,"Triplex",52332,0,134027
"mo",1,64,1,"Republican","European","English/Welsh","Republican",69000,"Residential",361313,0,348803
"ma",0,30,0,"Non-Partisan","Likely African-American","Likely Af-Am (Modeled)","Democratic & Independent",122000,"Residential",575473,0,226119
"tn",1,62,0,"Republican","European","English/Welsh","Republican",70000,"Residential",237500,1,302098
"pa",1,79,0,"Democratic","European","English/Welsh","Democratic & Republican",110896,"Unknown",180098,1,15338
"md",1,77,1,"Democratic","European","Scots","Democratic",124729,"Residential",325000,1,261838
"tx",0,48,1,"Republican","European","English/Welsh","Republican",84963,"Unknown",197995,1,365848
"ms",1,65,1,"Democratic","European","English/Welsh","Democratic",44000,"Apartment",280101,0,162213
"va",1,75,1,"Non-Partisan","European","German","Independent",172856,"Condominium",287500,0,262525
"tx",1,47,0,"Republican","European","English/Welsh","Republican",250000,"Residential",335258,0,368336
"tn",1,41,1,"Republican","European","English/Welsh","Republican",55000,"Residential",212080,0,301060
"il",1,52,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic & Republican",142000,"Residential",606358,1,343922
"pa",1,28,1,"Democratic","European","English/Welsh","Democratic",158000,"Residential",216565,0,250497
"ks",1,38,0,"Democratic","Other","Arab","Democratic",14000,"Residential",453694,0,353174
"mo",0,38,0,"Non-Partisan","","","Independent",11000,"Residential",189412,0,68798
"al",1,69,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",43332,"Unknown",87500,0,41191
"mo",1,30,0,"Republican","European","Irish","Republican",66000,"Residential",165776,0,351846
"ms",1,40,0,"Non-Partisan","European","English/Welsh","Republican & Independent",126000,"Residential",392212,0,306135
"mn",1,62,1,"Republican","European","Dutch (Netherlands)","Republican",118000,"Condominium",269258,0,336698
"oh",1,42,0,"Democratic","European","Irish","Democratic",71000,"Residential",105083,1,314346
"tx",0,61,0,"Republican","East and South Asian","Vietnamese","Democratic & Republican",101837,"Residential",249481,0,77822
"id",1,46,0,"Non-Partisan","European","English/Welsh","Independent",117000,"Residential",283251,1,88952
"nc",1,59,0,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",61851,"Apartment",157499,0,142888
"ny",0,50,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",28835,"Apartment",624999,0,122326
"oh",1,59,0,"Non-Partisan","Other","Arab","Independent",48000,"Residential",96446,0,316237
"mi",0,49,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",67195,"Unknown",236606,0,54420
"pa",1,34,1,"Democratic","European","English/Welsh","Democratic & Independent",180000,"Residential",229283,0,250606
"ca",0,23,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",11000,"Apartment",479347,0,214342
"ak",1,84,1,"Non-Partisan","European","Scots","Independent",15000,"Residential",NA,0,110958
"ia",1,43,0,"Non-Partisan","European","English/Welsh","Independent",93000,"Residential",289591,0,329600
"fl",0,48,0,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",84313,"Apartment",272499,0,157731
"ny",1,63,1,"Democratic","European","Italian","Democratic & Republican",250000,"Apartment",425000,0,125605
"mn",1,57,1,"Republican","","","Republican",29000,"Residential",356276,0,336175
"wi",1,NA,1,"Republican","European","English/Welsh","Republican",94000,"Residential",325866,0,332521
"nj",1,69,1,"Republican","","","Democratic & Republican & Independent",146000,"Residential",492369,0,233171
"la",0,26,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",NA,"Apartment",NA,0,185609
"al",0,55,1,"Republican","European","German","Democratic & Republican",51911,"Residential",121958,0,300076
"al",1,32,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",38000,"Residential",224999,0,39809
"tx",1,68,0,"Non-Partisan","East and South Asian","Korean","Independent",140000,"Residential",295985,0,368745
"tx",0,30,0,"Democratic","European","Irish","Democratic",63000,"Residential",230989,0,83094
"fl",1,25,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",39000,"Apartment",174264,1,154084
"ca",1,18,1,"Democratic","European","German","Democratic & Republican & Independent",250000,"Residential",1163117,0,400986
"ga",0,31,1,"Non-Partisan","European","Scots","Democratic & Independent",69451,"Unknown",157669,0,28950
"mi",1,70,0,"Democratic","European","Scots","Democratic",72000,"Residential",243339,1,329183
"il",0,78,1,"Republican","European","Italian","Republican",60000,"Residential",306952,0,346956
"ma",0,34,0,"Non-Partisan","European","Italian","Republican & Independent",113000,"Residential",982557,0,1340
"wv",1,76,0,"Republican","European","English/Welsh","Republican",72000,"Residential",129050,0,20714
"ga",1,61,0,"Republican","European","English/Welsh","Republican",30499,"Unknown",77499,1,31016
"or",0,33,0,"Non-Partisan","European","English/Welsh","Democratic & Independent",47000,"Residential",382443,0,406597
